"Variable","Estimate","Std_Error","t_value","p_value"
"January",0.0033582007326167,0.00174411388394026,1.92544808199676,0.0545536646615125
"February",0.000662776535518554,0.00125619214489616,0.52760761019831,0.59792880096483
"March",-0.00414980852216447,0.0030346041012377,-1.36749585241512,0.171882335487731
"April",0.00200934608129136,0.00283570850845375,0.708586963470026,0.478802481933677
"May",0.00294910620460822,0.00179034423646505,1.64722858573337,0.099932759110847
"June",0.00275589947677991,0.00152633144125639,1.80557079693741,0.0713889561941751
"July",0.00113672583805228,0.00128682453434147,0.883357293645324,0.377328215291299
"August",0.000858793215081556,0.00148797119481962,0.577157150670287,0.564007662509216
"September",0.000323185379496006,0.00122724552159902,0.263342072802935,0.792359750464467
"October",0.000656972553500475,0.00153496102330219,0.428006016782836,0.668770438209726
"November",-0.000945437014688149,0.00164816896607512,-0.57362869593375,0.56639220878929
"December",3.09798203387575e-05,0.000955422019402675,0.0324252735541158,0.974141592553424
