"Variable","Estimate","Std_Error","t_value","p_value"
"January",0.0033582007326167,0.00198198488070357,1.69436243702555,0.0906143708084351
"February",0.000662776535518554,0.0013377170754221,0.495453446543936,0.620426181403592
"March",-0.00414980852216447,0.00361454134267549,-1.14808716479994,0.251301095358387
"April",0.00200934608129136,0.0033811911558471,0.594271660097239,0.552510844695693
"May",0.00294910620460822,0.00206804562835764,1.42603536603314,0.154277012397795
"June",0.00275589947677991,0.00168606200853362,1.63451845948225,0.102572481019317
"July",0.00113672583805228,0.00131215127658373,0.866307001591936,0.386600733454296
"August",0.000858793215081556,0.00142269971051506,0.603636318145204,0.546269204000093
"September",0.000323185379496006,0.00121046660141045,0.266992397080124,0.789548902494173
"October",0.000656972553500475,0.00151530296568412,0.433558547946133,0.664734550595477
"November",-0.000945437014688149,0.00182250200421577,-0.518757736617674,0.604083742691007
"December",3.09798203387575e-05,0.000920824718061669,0.0336435585742852,0.973170398716537
